[16:54:53] PUMP    ezo_i2c loaded -- using real EZO-PMP hardware
[16:54:53] SENSOR  ezo_i2c loaded -- using real EZO-pH hardware
[16:54:53] CTRL    reader thread started
 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
[16:55:28] SENSOR  pH = 4.303  (I2C 0x63 bus 1)
[16:55:30] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:32] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:34] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:36] SENSOR  pH = 4.312  (I2C 0x63 bus 1)
[16:55:37] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:39] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:41] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:43] SENSOR  pH = 4.308  (I2C 0x63 bus 1)
[16:55:45] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:47] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:49] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:51] SENSOR  pH = 4.318  (I2C 0x63 bus 1)
